,High,Low,Adj Close,Change,Average
AUD-USD,0.0002595155092421919,0.0005581672303378582,0.001096363179385662,0.0027500248979777098,0.0011660177042358555
USD-CNY,0.00036905627348460257,0.00010290724458172917,0.00012563746713567525,0.00014026490680407733,0.00018446647300152108
EUR-CAD,0.0008855846244841814,0.0007028461550362408,0.0012727152789011598,0.006460159085690975,0.0023303262860281393
EUR-CHF,0.0005296923336572945,0.0005849520675837994,0.000531041412614286,0.0004077277844771743,0.0005133533995831385
EUR-GBP,0.001846006140112877,0.0005272749112918973,0.0018825436709448695,0.0040688663721084595,0.002081172773614526
EUR-HUF,0.00038993300404399633,0.0006868429481983185,0.0006089660455472767,0.002719289157539606,0.0011012577888322994
EUR-JPY,0.0006394391530193388,0.0005032657645642757,0.0009311089524999261,0.003255977062508464,0.0013324477331480011
EUR-SEK,0.0015373211354017258,0.00032329713576473296,0.0003302749537397176,0.007119227200746536,0.002327530106413178
EUR-USD,0.0004928708076477051,0.00361717795021832,0.0006660101935267448,0.0009453970124013722,0.0014303639909485355
GBP-JPY,0.0003613248118199408,0.0002277480234624818,0.0002931992057710886,0.001696666469797492,0.0006447346277127508
GBP-USD,0.000708503823261708,0.001022313255816698,0.0002553861413616687,0.0037901108153164387,0.0014440785089391284
USD-HKD,0.001115582650527358,0.0005694464780390263,0.0020896559581160545,0.00032634229864925146,0.0010252568463329226
USD-IDR,6.19183192611672e-05,0.001008164370432496,0.0004915737081319094,0.00010647416638676077,0.00041703264105308335
USD-INR,0.0002321702631888911,0.0015043043531477451,0.004009787924587727,0.0031434667762368917,0.0022224323292903136
USD-JPY,0.0008152802474796772,0.0011679035378620028,0.0004705569299403578,0.000964367704000324,0.0008545271048205905
USD-MXN,0.0002904032007791102,0.0002627473440952599,0.0003828518383670598,0.003050657222047448,0.0009966649013222195
USD-MYR,0.0009366767480969429,0.0005156544502824545,0.000460023176856339,0.004308818839490414,0.0015552933036815375
NZD-USD,0.0007838431047275662,0.0005740036140196025,0.000391275534639135,0.004421382676810026,0.0015426262325490825
USD-PHP,0.0005708359531126916,0.00044853496365249157,0.0007465113303624094,0.001018149545416236,0.0006960079481359571
USD-RUB,0.0017933114431798458,0.0002678503224160522,0.0006251409649848938,1.2268181137642387e-08,0.0006715787496904824
USD-SGD,0.00022334344976115972,0.00037245790008455515,0.0004896073951385915,0.006343201268464327,0.0018571525033621583
USD-THB,0.0013404992641881108,0.0012307638535276055,0.001723665278404951,0.0026049392763525248,0.001724966918118298
USD-ZAR,0.00031236358336173,0.0006201539654284716,0.0003904439799953252,0.002081293147057295,0.0008510636689607054
