,High,Low,Adj Close,Change,Average
ALL ORDINARIES,0.0002762534422799945,0.0003822858852799982,0.00034223528928123415,0.005102628376334906,0.0015258507482940331
BEL 20,0.0003665090480353683,0.0009694782784208655,0.0004043096269015223,0.003076693508774042,0.0012042476155329496
CAC 40,0.0003169251140207052,0.00037579008494503796,0.00025791930966079235,0.003502513049170375,0.0011132868894492276
Cboe UK 100,0.0005115001113153994,0.0009001818834803998,0.0011934273643419147,0.003671857761219144,0.0015692417800892144
DAX PERFORMANCE-INDEX,0.00025963567895814776,0.0005090025952085853,0.000555545964743942,0.0036832713522017,0.0012518638977780938
Dow Jones Industrial Average,0.0005092492210678756,0.00016011558182071894,0.0002604126639198512,0.00239830301143229,0.000832020119560184
ESTX 50 PR.EUR,0.0004853441205341369,0.001829358167015016,0.0007765479967929423,0.004307261202484369,0.0018496278717066161
Euronext 100 Index,0.0004526858974713832,0.0013153282925486565,0.000223986673518084,0.00312496954575181,0.0012792426023224834
FTSE Bursa Malaysia KLCI,0.001307911821641028,0.0009442965383641422,0.00044013632577843964,0.0034650242887437344,0.001539342243631836
FTSE 100,0.000508213706780225,0.0003444580943323672,0.000325621833326295,0.002283751731738448,0.0008655113415443338
HANG SENG INDEX,0.0006314326310530305,0.0007988107390701771,0.00036928264307789505,0.0032924471888691187,0.0012729933005175553
IBOVESPA,0.0009050529333762825,0.000570618431083858,0.00019949747365899384,0.003996678162366152,0.0014179617501213215
IPC MEXICO,0.0010738893179222941,0.000351828639395535,0.0012157182209193707,0.0038672618102282286,0.001627174497116357
Jakarta Composite Index,0.0009392197825945914,0.0001784667110769078,0.0005082464194856584,0.004814166575670242,0.00161002487220685
KOSPI Composite Index,0.00044324900954961777,0.0005632278043776751,0.00039635092252865434,0.003120447974652052,0.0011308189277769998
MERVAL,0.0006906396010890603,0.00013772463717032224,0.0007846213411539793,0.0020612033549696207,0.0009185472335957456
NASDAQ Composite,0.000309423339786008,0.00030857158708386123,9.20477177714929e-05,0.003320378949865699,0.0010076053986267652
Nikkei 225,0.0007347069913521409,0.000274719757726416,0.0005021392717026174,0.003033478744328022,0.001136261191277299
NYSE AMEX COMPOSITE INDEX,0.0003660306101664901,0.0007832099799998105,0.0003025816404260695,0.00248668878339231,0.00098462775349617
NYSE COMPOSITE (DJ),0.0010476175229996443,0.00032502252724952996,0.0002579521096777171,0.003712761914357543,0.0013358385185711086
Russell 2000,0.00026237888960167766,0.0004047397815156728,0.00029989442555233836,0.005020938813686371,0.001496987977589015
S&P 500,9.707571007311344e-05,0.0004945857217535377,0.00029686439665965736,0.0029431816656142473,0.0009579268735251389
S&P BSE SENSEX,0.00036705334787257016,0.00031076683080755174,0.0006252825260162354,0.00932986568659544,0.0026582420978229493
Shenzhen Component,0.00030253210570663214,0.0004712346417363733,0.0005375788896344602,0.007588516920804977,0.0022249656394706108
SSE Composite Index,0.00043115532025694847,0.0003588763065636158,0.00036815047496929765,0.005349655169993639,0.0016269593179458752
STI Index,0.00010980467050103471,0.00016277791291940957,0.00011385058314772323,0.0028512896969914436,0.0008094307158899028
TA-125,0.0014801151119172573,0.0002883725392166525,0.0001757815043674782,0.0062952907755970955,0.002059889982774621
TSEC weighted index,0.00028554911841638386,0.0003883424506057054,0.0007427929085679352,0.0065983934327960014,0.0020037694775965065
Vix,0.0007705342723056674,0.000833072408568114,0.0007688236073590815,0.0026588134933263063,0.0012578109453897923
